Biorefinery,MPSP,,,,Worst,,,,Baseline,Best
Lignocellulose,1.338156139,Sugarcane,1.739602981,Difference,-0.401446842,Relative Difference,-23%,,-0.48173621,-0.578083452
Lignocellulose,1.264687952,Sugarcane,1.644094337,Difference,-0.379406385,Relative Difference,-23%,,-0.455287662,-0.546345194
Lignocellulose,1.81759964,Sugarcane,2.362879532,Difference,-0.545279892,Relative Difference,-23%,,-0.65433587,-0.785203044
Lignocellulose,1.299498265,Sugarcane,1.689347744,Difference,-0.389849479,Relative Difference,-23%,,-0.467819375,-0.56138325
Lignocellulose,1.780709537,Sugarcane,2.314922398,Difference,-0.534212861,Relative Difference,-23%,,-0.641055433,-0.76926652
Lignocellulose,1.777132305,Sugarcane,2.310271996,Difference,-0.533139691,Relative Difference,-23%,,-0.639767629,-0.767721155
Lignocellulose,1.246619056,Sugarcane,1.620604773,Difference,-0.373985717,Relative Difference,-23%,,-0.44878286,-0.538539432
Lignocellulose,1.528583726,Sugarcane,1.987158844,Difference,-0.458575118,Relative Difference,-23%,,-0.550290142,-0.66034817
Lignocellulose,1.422712374,Sugarcane,1.849526086,Difference,-0.426813712,Relative Difference,-23%,,-0.512176454,-0.614611745
Lignocellulose,1.290459101,Sugarcane,1.677596831,Difference,-0.38713773,Relative Difference,-23%,,-0.464565276,-0.557478331
Lignocellulose,1.688622109,Sugarcane,2.195208742,Difference,-0.506586633,Relative Difference,-23%,,-0.60790396,-0.729484752
Lignocellulose,1.475748532,Sugarcane,1.918473092,Difference,-0.44272456,Relative Difference,-23%,,-0.531269472,-0.637523366
Lignocellulose,1.155149626,Sugarcane,1.501694514,Difference,-0.346544888,Relative Difference,-23%,,-0.415853866,-0.499024639
Lignocellulose,1.382425412,Sugarcane,1.797153035,Difference,-0.414727623,Relative Difference,-23%,,-0.497673148,-0.597207777
Lignocellulose,1.519514242,Sugarcane,1.975368515,Difference,-0.455854273,Relative Difference,-23%,,-0.547025128,-0.656430153
Lignocellulose,1.695724255,Sugarcane,2.204441531,Difference,-0.508717276,Relative Difference,-23%,,-0.610460731,-0.732552877
Lignocellulose,1.386649786,Sugarcane,1.802644722,Difference,-0.415994936,Relative Difference,-23%,,-0.499193923,-0.599032708
Lignocellulose,1.33076071,Sugarcane,1.729988923,Difference,-0.399228213,Relative Difference,-23%,,-0.479073856,-0.574888627
Lignocellulose,1.425211503,Sugarcane,1.852774954,Difference,-0.427563451,Relative Difference,-23%,,-0.513076141,-0.615691369
Lignocellulose,1.289562634,Sugarcane,1.676431424,Difference,-0.38686879,Relative Difference,-23%,,-0.464242548,-0.557091058
Lignocellulose,1.35189054,Sugarcane,1.757457702,Difference,-0.405567162,Relative Difference,-23%,,-0.486680594,-0.584016713
Lignocellulose,1.747293937,Sugarcane,2.271482119,Difference,-0.524188182,Relative Difference,-23%,,-0.629025818,-0.754830982
Lignocellulose,1.232728697,Sugarcane,1.602547306,Difference,-0.369818609,Relative Difference,-23%,,-0.443782331,-0.532538797
Lignocellulose,1.497044948,Sugarcane,1.946158433,Difference,-0.449113485,Relative Difference,-23%,,-0.538936182,-0.646723418
Lignocellulose,1.236132612,Sugarcane,1.606972396,Difference,-0.370839784,Relative Difference,-23%,,-0.445007741,-0.534009289
Lignocellulose,1.28208769,Sugarcane,1.666713997,Difference,-0.384626307,Relative Difference,-23%,,-0.461551568,-0.553861882
Lignocellulose,1.585104358,Sugarcane,2.060635665,Difference,-0.475531307,Relative Difference,-23%,,-0.570637568,-0.684765082
Lignocellulose,1.373325826,Sugarcane,1.785323574,Difference,-0.411997748,Relative Difference,-23%,,-0.494397298,-0.593276757
Lignocellulose,1.676631565,Sugarcane,2.179621035,Difference,-0.50298947,Relative Difference,-23%,,-0.603587364,-0.724304837
Lignocellulose,1.635712301,Sugarcane,2.126425991,Difference,-0.49071369,Relative Difference,-23%,,-0.588856428,-0.706627714
Lignocellulose,1.302358894,Sugarcane,1.693066563,Difference,-0.390707669,Relative Difference,-23%,,-0.468849203,-0.562619043
Lignocellulose,1.228479028,Sugarcane,1.597022736,Difference,-0.368543708,Relative Difference,-23%,,-0.44225245,-0.53070294
Lignocellulose,1.552732605,Sugarcane,2.018552386,Difference,-0.465819781,Relative Difference,-23%,,-0.558983737,-0.670780485
Lignocellulose,1.620262585,Sugarcane,2.10634136,Difference,-0.486078775,Relative Difference,-23%,,-0.58329453,-0.699953436
Lignocellulose,1.257006412,Sugarcane,1.634108336,Difference,-0.377101924,Relative Difference,-23%,,-0.452522309,-0.543026771
Lignocellulose,1.635511144,Sugarcane,2.126164487,Difference,-0.490653343,Relative Difference,-23%,,-0.588784012,-0.706540814
Lignocellulose,1.477343143,Sugarcane,1.920546086,Difference,-0.443202943,Relative Difference,-23%,,-0.531843532,-0.638212238
Lignocellulose,1.455451389,Sugarcane,1.892086805,Difference,-0.436635416,Relative Difference,-23%,,-0.523962499,-0.628754999
Lignocellulose,1.635657858,Sugarcane,2.126355216,Difference,-0.490697358,Relative Difference,-23%,,-0.58883683,-0.706604196
Lignocellulose,1.643570479,Sugarcane,2.136641623,Difference,-0.493071144,Relative Difference,-23%,,-0.591685373,-0.710022447
Lignocellulose,1.441162401,Sugarcane,1.873511121,Difference,-0.43234872,Relative Difference,-23%,,-0.518818464,-0.622582157
Lignocellulose,1.338959195,Sugarcane,1.740646954,Difference,-0.401687759,Relative Difference,-23%,,-0.482025311,-0.578430373
Lignocellulose,1.425743927,Sugarcane,1.853467106,Difference,-0.427723179,Relative Difference,-23%,,-0.513267815,-0.615921378
Lignocellulose,1.635801885,Sugarcane,2.12654245,Difference,-0.490740565,Relative Difference,-23%,,-0.588888678,-0.706666414
Lignocellulose,1.388963135,Sugarcane,1.805652075,Difference,-0.41668894,Relative Difference,-23%,,-0.500026728,-0.600032074
Lignocellulose,1.341563042,Sugarcane,1.744031955,Difference,-0.402468913,Relative Difference,-23%,,-0.482962696,-0.579555235
Lignocellulose,1.653373276,Sugarcane,2.149385259,Difference,-0.496011983,Relative Difference,-23%,,-0.59521438,-0.714257256
Lignocellulose,1.54913314,Sugarcane,2.013873081,Difference,-0.464739941,Relative Difference,-23%,,-0.557687929,-0.669225515
Lignocellulose,1.426103782,Sugarcane,1.853934916,Difference,-0.427831134,Relative Difference,-23%,,-0.513397361,-0.616076833
Lignocellulose,1.415448043,Sugarcane,1.840082456,Difference,-0.424634413,Relative Difference,-23%,,-0.509561296,-0.611473555
Lignocellulose,1.647284617,Sugarcane,2.141470002,Difference,-0.494185385,Relative Difference,-23%,,-0.593022462,-0.711626954
Lignocellulose,1.218597373,Sugarcane,1.584176585,Difference,-0.365579212,Relative Difference,-23%,,-0.438695054,-0.526434065
Lignocellulose,1.394152492,Sugarcane,1.81239824,Difference,-0.418245748,Relative Difference,-23%,,-0.501894898,-0.602273877
Lignocellulose,1.807820267,Sugarcane,2.350166347,Difference,-0.54234608,Relative Difference,-23%,,-0.650815296,-0.780978355
Lignocellulose,1.383051162,Sugarcane,1.79796651,Difference,-0.414915348,Relative Difference,-23%,,-0.497898418,-0.597478101
Lignocellulose,1.512958654,Sugarcane,1.96684625,Difference,-0.453887596,Relative Difference,-23%,,-0.544665115,-0.653598138
Lignocellulose,1.320632221,Sugarcane,1.716821888,Difference,-0.396189667,Relative Difference,-23%,,-0.4754276,-0.57051312
Lignocellulose,1.654942745,Sugarcane,2.151425569,Difference,-0.496482824,Relative Difference,-23%,,-0.595779389,-0.714935267
Lignocellulose,1.516087701,Sugarcane,1.970914011,Difference,-0.45482631,Relative Difference,-23%,,-0.545791572,-0.654949886
Lignocellulose,1.162532754,Sugarcane,1.51129258,Difference,-0.348759826,Relative Difference,-23%,,-0.418511791,-0.502214149
Lignocellulose,1.678944629,Sugarcane,2.182628018,Difference,-0.503683389,Relative Difference,-23%,,-0.604420067,-0.72530408
Lignocellulose,1.348207911,Sugarcane,1.752670285,Difference,-0.404462374,Relative Difference,-23%,,-0.485354849,-0.582425819
Lignocellulose,1.601228327,Sugarcane,2.081596825,Difference,-0.480368498,Relative Difference,-23%,,-0.576442198,-0.691730637
Lignocellulose,1.5407715,Sugarcane,2.003002949,Difference,-0.462231449,Relative Difference,-23%,,-0.554677739,-0.665613287
Lignocellulose,1.211504751,Sugarcane,1.574956177,Difference,-0.363451426,Relative Difference,-23%,,-0.436141711,-0.523370053
Lignocellulose,1.615416364,Sugarcane,2.100041273,Difference,-0.484624909,Relative Difference,-23%,,-0.581549891,-0.697859869
Lignocellulose,1.516875175,Sugarcane,1.971937727,Difference,-0.455062552,Relative Difference,-23%,,-0.546075062,-0.655290075
Lignocellulose,1.358089383,Sugarcane,1.765516197,Difference,-0.407426814,Relative Difference,-23%,,-0.488912177,-0.586694612
Lignocellulose,1.503590535,Sugarcane,1.954667695,Difference,-0.45107716,Relative Difference,-23%,,-0.541292592,-0.64955111
Lignocellulose,1.409558124,Sugarcane,1.832425561,Difference,-0.422867437,Relative Difference,-23%,,-0.507440924,-0.608929109
Lignocellulose,1.324915945,Sugarcane,1.722390728,Difference,-0.397474783,Relative Difference,-23%,,-0.47696974,-0.572363688
Lignocellulose,1.428829374,Sugarcane,1.857478186,Difference,-0.428648812,Relative Difference,-23%,,-0.514378574,-0.617254289
Lignocellulose,1.319523173,Sugarcane,1.715380125,Difference,-0.395856952,Relative Difference,-23%,,-0.475028342,-0.570034011
Lignocellulose,1.526547646,Sugarcane,1.98451194,Difference,-0.457964294,Relative Difference,-23%,,-0.549557153,-0.659468583
Lignocellulose,1.38659722,Sugarcane,1.802576385,Difference,-0.415979165,Relative Difference,-23%,,-0.499174998,-0.599009998
Lignocellulose,1.620029386,Sugarcane,2.106038202,Difference,-0.486008816,Relative Difference,-23%,,-0.583210579,-0.699852695
Lignocellulose,1.544868235,Sugarcane,2.008328706,Difference,-0.463460471,Relative Difference,-23%,,-0.556152565,-0.667383078
Lignocellulose,1.478817719,Sugarcane,1.922463034,Difference,-0.443645315,Relative Difference,-23%,,-0.532374378,-0.638849254
Lignocellulose,1.210727352,Sugarcane,1.573945557,Difference,-0.363218205,Relative Difference,-23%,,-0.435861846,-0.523034215
Lignocellulose,1.383605303,Sugarcane,1.798686894,Difference,-0.415081591,Relative Difference,-23%,,-0.498097909,-0.597717491
Lignocellulose,1.42591471,Sugarcane,1.853689123,Difference,-0.427774413,Relative Difference,-23%,,-0.513329296,-0.615995155
Lignocellulose,1.33706486,Sugarcane,1.738184318,Difference,-0.401119458,Relative Difference,-23%,,-0.48134335,-0.57761202
Lignocellulose,1.574303374,Sugarcane,2.046594386,Difference,-0.472291012,Relative Difference,-23%,,-0.566749214,-0.680099057
Lignocellulose,1.482269993,Sugarcane,1.926950992,Difference,-0.444680999,Relative Difference,-23%,,-0.533617199,-0.640340639
Lignocellulose,1.543430521,Sugarcane,2.006459677,Difference,-0.463029156,Relative Difference,-23%,,-0.555634987,-0.666761985
Lignocellulose,1.621201769,Sugarcane,2.107562299,Difference,-0.48636053,Relative Difference,-23%,,-0.583632636,-0.700359163
Lignocellulose,1.562604541,Sugarcane,2.031385904,Difference,-0.468781363,Relative Difference,-23%,,-0.562537636,-0.675045163
Lignocellulose,1.412143916,Sugarcane,1.835787091,Difference,-0.423643175,Relative Difference,-23%,,-0.50837181,-0.610046172
Lignocellulose,1.547692206,Sugarcane,2.011999868,Difference,-0.464307662,Relative Difference,-23%,,-0.557169194,-0.668603033
Lignocellulose,1.270374266,Sugarcane,1.651486546,Difference,-0.38111228,Relative Difference,-23%,,-0.457334736,-0.548801683
Lignocellulose,1.367086771,Sugarcane,1.777212802,Difference,-0.410126031,Relative Difference,-23%,,-0.492151237,-0.590581485
Lignocellulose,1.531394358,Sugarcane,1.990812665,Difference,-0.459418307,Relative Difference,-23%,,-0.551301968,-0.661562362
Lignocellulose,1.452945568,Sugarcane,1.888829239,Difference,-0.435883671,Relative Difference,-23%,,-0.523060405,-0.627672486
Lignocellulose,1.319751574,Sugarcane,1.715677047,Difference,-0.395925473,Relative Difference,-23%,,-0.475110568,-0.570132681
Lignocellulose,1.801711471,Sugarcane,2.342224913,Difference,-0.540513442,Relative Difference,-23%,,-0.64861613,-0.778339356
Lignocellulose,1.419568096,Sugarcane,1.845438524,Difference,-0.425870428,Relative Difference,-23%,,-0.511044514,-0.613253416
Lignocellulose,1.445591646,Sugarcane,1.87926914,Difference,-0.433677494,Relative Difference,-23%,,-0.520412993,-0.624495591
Lignocellulose,1.468047189,Sugarcane,1.908461345,Difference,-0.440414156,Relative Difference,-23%,,-0.528496987,-0.634196385
