         2082287 function calls (2048994 primitive calls) in 3.453 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      262    0.001    0.000    0.010    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:943(V)
     1380    0.004    0.000    0.010    0.000 C:\ProgramData\Anaconda3\lib\site-packages\scipy\_lib\_util.py:217(_asarray_validated)
      235    0.000    0.000    0.010    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\mixture\mixture.py:339(xCn)
     1231    0.001    0.000    0.010    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\dew_point.py:141(<listcomp>)
     2140    0.005    0.000    0.009    0.000 C:\Users\yrc2\OneDrive\Code\flexsolve\flexsolve\utils.py:115(aitken_iter)
      235    0.000    0.000    0.009    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\mixture\mixture.py:341(<listcomp>)
      633    0.001    0.000    0.009    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\utils\tp_dependent_property.py:207(TP_dependent_property)
      517    0.001    0.000    0.009    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:365(to_material_indexer)
      211    0.000    0.000    0.009    0.000 <__array_function__ internals>:2(isclose)
       48    0.000    0.000    0.009    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_flash.py:617(__init__)
    10006    0.006    0.000    0.009    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\utils\t_dependent_property.py:2493(calculate_integral)
    16886    0.008    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\heat_capacity.py:2184(Zabransky_cubic_integral)
      148    0.000    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:820(F_vol)
      342    0.001    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\piping.py:198(__init__)
